,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,in_reply_to_user_id,lang,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,reply_settings,source,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified,users.withheld.country_codes,users.withheld.scope
0,47929822,author_id: 47929822,coversation_id: 1068441426592186368,1068441426592186368,2018-12-19T13:54:39.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1075388947658956800,id: 1075388947658956800,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter Web Client,"@theresa_may A french women , who looks up to you - who loves you..",2009-06-17T11:25:16.000Z,"🇫🇷
Amie nuit💖
Le temps coule ici💖
Comme l'eau de pluie💖
Amie nuit💖",47929822,Contre l'injustice 🇫🇷,4351,3344,7,43166,chantal63,False,,
1,47929822,author_id: 47929822,coversation_id: 1068441426592186368,1068441426592186368,2018-12-04T05:38:57.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1069828382068744192,id: 1069828382068744192,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter Web Client,"@theresa_may for the negatives! why the EU does not want you to leave, it's good that you are a country of great importance! Ms May will succeed, because the WORLD needs the UK. It's the EU that's crying, it's the EU that's scared! Viva May",2009-06-17T11:25:16.000Z,"🇫🇷
Amie nuit💖
Le temps coule ici💖
Comme l'eau de pluie💖
Amie nuit💖",47929822,Contre l'injustice 🇫🇷,4351,3344,7,43166,chantal63,False,,
2,600322296,author_id: 600322296,coversation_id: 1068441426592186368,1068441426592186368,2018-12-09T22:26:54.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1071893980273655810,id: 1071893980273655810,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter for Android,@theresa_may This  is  fake news  # projectfear,2012-06-05T16:44:12.000Z,"Irish wife, mum, lives in Manchester,. republicanist, treat as you wish to be treated,opiniated.",600322296,Aine Ni Beaudochain,65,306,1,4487,ruaineb,False,,
3,989799848533782528,author_id: 989799848533782528,coversation_id: 1068441426592186368,1068441426592186368,2018-12-09T19:18:12.000Z,"[{'start': 0, 'end': 11, 'username': 'Groundie46', 'id': '38830592'}, {'start': 12, 'end': 24, 'username': 'theresa_may', 'id': '747807250819981312'}]",1071846493148078080,id: 1071846493148078080,38830592,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1068451991561621504'}]",everyone,Twitter Web Client,"@Groundie46 @theresa_may She is over-compensating for her poor campaign performance during previous election - and, spending a lot of money!",2018-04-27T09:34:08.000Z,"in a state of becoming ... life is about change
occasional tweeter
learning to manage time better
having social media fatigue",989799848533782528,socent,247,663,1,38485,socent8,False,,
4,254495797,author_id: 254495797,coversation_id: 1068441426592186368,1068441426592186368,2018-12-08T11:02:53.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1071359455718240256,id: 1071359455718240256,747807250819981312,und,0,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter for iPhone,@theresa_may https://t.co/H2YoVwbqaV,2011-02-19T11:46:28.000Z,"I came, I saw, I compiled a carefully worded tweet. All views my own, likes and retweets do not necessarily indicate endorsement.",254495797,Jonathan Foster,311,579,8,5360,JonathanDRFC,False,,
5,1000182048454131712,author_id: 1000182048454131712,coversation_id: 1068441426592186368,1068441426592186368,2018-12-07T17:55:45.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1071100968803028992,id: 1071100968803028992,747807250819981312,en,1,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter for iPhone,@theresa_may We don’t want free trade with the EU. WE WANT FREE TRADE WITH THE REST OF THE WORLD.,2018-05-26T01:09:17.000Z,Hates bullying and injustice. The world needs equality not over representing any particular group. Liberalism is a cancer. YNWA. Liverpool til I die.,1000182048454131712,Spikey7,34,113,2,4748,Spikey7X,False,,
6,225039268,author_id: 225039268,coversation_id: 1068441426592186368,1068441426592186368,2018-12-04T12:59:32.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1069939259916910593,id: 1069939259916910593,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter Web App,@theresa_may Well that was a waste of 60 seconds.,2010-12-10T14:26:42.000Z,"You learn something new every day, then die and forget the lot :o)",225039268,Bob Huband,36,207,1,7592,No_Idea_Bob,False,,
7,244617217,author_id: 244617217,coversation_id: 1068441426592186368,1068441426592186368,2018-12-04T09:58:37.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1069893729832591361,id: 1069893729832591361,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter for Android,@theresa_may I was expecting this video to be slating the deal. But it makes the deal look good to me. Can't happen soon enough,2011-01-29T18:40:19.000Z,,244617217,jamie,42,183,2,4402,jhewitthunt,False,,
8,950133964777361409,author_id: 950133964777361409,coversation_id: 1068441426592186368,1068441426592186368,2018-12-04T08:02:14.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1069864441162944512,id: 1069864441162944512,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter for Android,@theresa_may You are tying the UK into a deal that is intended to totally absorb us into the EU for ever. Instead of leaving the EU as the referendum demanded.  I don't remember at any point did the referendum give mandate to the government to negotiate.  You betrayed the people.,2018-01-07T22:36:04.000Z,Human,950133964777361409,Philip McNeill,2,21,0,201,PhilipMcNeill10,False,,
9,248145799,author_id: 248145799,coversation_id: 1068441426592186368,1068441426592186368,2018-12-03T22:42:40.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}]",1069723622971985920,id: 1069723622971985920,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1068441426592186368'}]",everyone,Twitter for Android,@theresa_may All B.S.,2011-02-06T10:37:10.000Z,Enjoy today tomorrow will take care of itself. English through and through. Hate injustice and the EU with a passion now find me on Parler @Carltonaljan,248145799,someoldguy,2508,1043,61,339409,donifordace,False,,
