,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,in_reply_to_user_id,lang,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,reply_settings,source,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified,users.withheld.country_codes
0,2988005277,author_id: 2988005277,coversation_id: 859676113643220992,859676113643220992,2017-05-24T21:29:25.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}]",867492757358510080,id: 867492757358510080,17675072,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter Web Client,@MartinSchulz Nur durch Ehrlichkeit der anderen liebt man selbst sein taegliches Spiegelbild.,2015-01-20T21:20:42.000Z,,2988005277,bruno petz,44,47,2,28060,quasselonkel,False,
1,158748218,author_id: 158748218,coversation_id: 859676113643220992,859676113643220992,2017-05-05T11:41:44.000Z,"[{'start': 11, 'end': 24, 'username': 'MartinSchulz', 'id': '17675072'}]",860459493708222464,id: 860459493708222464,1065971496,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859678566602158080'}]",everyone,Twitter for iPhone,@Monte_Iro @MartinSchulz Haha wie peinlich 🙈,2010-06-23T14:04:26.000Z,,158748218,Philipp,128,274,0,2154,realkimjongphil,False,
2,19359977,author_id: 19359977,coversation_id: 859676113643220992,859676113643220992,2017-05-05T00:21:00.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}, {'start': 41, 'end': 47, 'username': 'spdde', 'id': '26458162'}]",860288180003655681,id: 860288180003655681,17675072,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter Web Client,"@MartinSchulz Falls Team #MartinSchulz / @spdde ein Sinn für Strategie hat, werdet ihr diese Enthüllungen zum Wahlkampf bringen.
https://t.co/pwrr5x6bXD",2009-01-22T20:43:41.000Z,"Irreverent & not easily daunted. Daughter of a #refugee ♡ Kein Kindergeburtstag! ♡ Definitely a cat! 😺
Halt die Ohren steif, #Snowden!",19359977,Democratic Gremlin 🌻,2194,2043,154,156199,Teelin,False,
3,953767716,author_id: 953767716,coversation_id: 859676113643220992,859676113643220992,2017-05-04T21:22:00.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}]",860243135028486144,id: 860243135028486144,17675072,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter Web App,"@MartinSchulz Klaro...is ja so, wie es ist. 🙄",2012-11-17T15:20:15.000Z,Ein Conti. Ist so und mach aber weiter. Bleibt Alle gesund. Lg. an Euch. ♥Geburtstag:  Nächste🍾Runde Zahl in 2021.😊,953767716,MaChrissy HeiWes,20,293,0,1145,MaChrissyHeiWes,False,
4,281536896,author_id: 281536896,coversation_id: 859676113643220992,859676113643220992,2017-05-04T18:42:22.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}, {'start': 14, 'end': 24, 'username': 'Sky_SvenT', 'id': '409958948'}]",860202961787641857,id: 860202961787641857,17675072,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter for Android,@MartinSchulz @Sky_SvenT Anscheinend scheint Herr Töllner Wahlwerbung für die SPD zu machen,2011-04-13T13:37:56.000Z,,281536896,Alfons von Garrel,60,109,1,9904,AlfonsvG,False,
5,2903531998,author_id: 2903531998,coversation_id: 859676113643220992,859676113643220992,2017-05-04T15:55:01.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}]",860160847078989824,id: 860160847078989824,17675072,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter Web Client,"@MartinSchulz Freie Presse, unabhängige Justiz, leider sind auch innerhalb der EU zwei Länder dabei, diesen Pfad zu verlassen.  Piepi",2014-12-03T08:42:00.000Z,"Vita: Volks-Haupt-Handelsschule, Heirat-2Kinder, dann: Bundesgymnasium-u.-real für Berufstätige, Matura- Universität: Jusstudium,5Semester, Schicksalsabbruch.",2903531998,"Christiane Keil , Piepi",1623,4845,3,40535,chkeil44,False,
6,288567673,author_id: 288567673,coversation_id: 859676113643220992,859676113643220992,2017-05-04T13:06:06.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}, {'start': 14, 'end': 27, 'username': 'Ralf_Stegner', 'id': '16808099'}, {'start': 86, 'end': 99, 'username': 'MartinSchulz', 'id': '17675072'}]",860118336876810242,id: 860118336876810242,17675072,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter Web Client,"@MartinSchulz @Ralf_Stegner #wehrdienstschulz
Die Presse fürchtet sich immer noch vor @Martinschulz da er seine Wehrdienstvermeidung nicht offenlegt. #GenosseRalfi",2011-04-27T02:39:10.000Z,"Retired Zenmaster, Enfant Terrible. Lasse mich bevorzugt missverstehen. Meistens Satire. Oder einfach mal nachfragen",288567673,Rainer Loveiam,985,598,72,129682,RainerLoveiam,False,
7,244967522,author_id: 244967522,coversation_id: 859676113643220992,859676113643220992,2017-05-04T12:03:24.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}]",860102557049421824,id: 860102557049421824,17675072,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter Web Client,"@MartinSchulz Ich wünschte nur sie wären etwas präsenter. Sowohl Presse als auch Wähler brauchen jetzt mehr Tiefe von Ihnen. - Sonst sehe ich ""schwarz""",2011-01-30T15:18:02.000Z,FRAUEN AB 40 SIND HOT,244967522,The real Venkmann,645,815,21,55722,Creeptonian,False,
8,104448890,author_id: 104448890,coversation_id: 859676113643220992,859676113643220992,2017-05-04T11:02:44.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}, {'start': 136, 'end': 152, 'username': 'fundacja_alivia', 'id': '168146194'}]",860087292505075712,id: 860087292505075712,17675072,pl,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter for iPhone,@MartinSchulz HELP Łukasz walczy z glejakiem - złośliwym nowotworem mózgu i potrzebuje środków na leczenie. https://t.co/39pllAMEA7 via @fundacja_alivia,2010-01-13T10:54:42.000Z,,104448890,Joanna Hajduk,48,287,0,392,sylterin,False,
9,2674013147,author_id: 2674013147,coversation_id: 859676113643220992,859676113643220992,2017-05-04T09:48:14.000Z,"[{'start': 0, 'end': 13, 'username': 'MartinSchulz', 'id': '17675072'}]",860068544196857856,id: 860068544196857856,17675072,de,0,0,0,0,"[{'type': 'replied_to', 'id': '859676113643220992'}]",everyone,Twitter for Android,"@MartinSchulz ""So blöd, was die über mich sagen... aber hey! Sie dürfen es *Freudentanz*"" 😁",2014-07-05T01:30:37.000Z,Emotionsgeladene Gefühlsduselei 🙃,2674013147,Sema Oğuzcan-Avcı,21,168,0,73,Semoucan,False,
